Time,hull Moment Monitor: hull Moment Monitor (N-m),tank Moment Monitor: tank Moment Monitor (N-m),Total Moment Monitor: Total Moment Monitor (N-m)
22.85,-3.75E+09,3.68E+09,-6.93E+07
22.9,-3.80E+09,3.70E+09,-1.04E+08
22.95,-3.78E+09,3.70E+09,-8.50E+07
23.05,-3.93E+09,3.72E+09,-2.05E+08
23.1,-4.08E+09,3.75E+09,-3.27E+08
23.15,-4.18E+09,3.74E+09,-4.32E+08
23.2,-4.25E+09,3.78E+09,-4.66E+08
23.25,-4.35E+09,3.77E+09,-5.79E+08
23.35,-4.55E+09,3.80E+09,-7.46E+08
23.4,-4.72E+09,3.86E+09,-8.58E+08
23.45,-4.80E+09,3.83E+09,-9.63E+08
23.5,-4.95E+09,3.91E+09,-1.04E+09
23.55,-4.99E+09,3.87E+09,-1.12E+09
23.65,-5.17E+09,3.89E+09,-1.28E+09
23.7,-5.37E+09,3.98E+09,-1.39E+09
23.75,-5.35E+09,3.92E+09,-1.43E+09
23.8,-5.52E+09,4.01E+09,-1.51E+09
23.85,-5.54E+09,3.95E+09,-1.59E+09
23.95,-5.68E+09,3.96E+09,-1.71E+09
24,-5.86E+09,4.07E+09,-1.79E+09
24.05,-5.78E+09,3.99E+09,-1.79E+09
24.1,-6.01E+09,4.09E+09,-1.92E+09
24.2,-6.13E+09,4.12E+09,-2.00E+09
24.25,-6.11E+09,4.03E+09,-2.08E+09
24.3,-6.20E+09,4.14E+09,-2.06E+09
24.35,-6.25E+09,4.04E+09,-2.21E+09
24.4,-6.35E+09,4.17E+09,-2.18E+09
24.5,-6.49E+09,4.18E+09,-2.31E+09
24.55,-6.46E+09,4.08E+09,-2.38E+09
24.6,-6.59E+09,4.20E+09,-2.39E+09
24.65,-6.56E+09,4.10E+09,-2.46E+09
24.7,-6.69E+09,4.22E+09,-2.47E+09
24.8,-6.79E+09,4.24E+09,-2.55E+09
24.85,-6.73E+09,4.12E+09,-2.62E+09
24.9,-6.88E+09,4.26E+09,-2.61E+09
24.95,-6.77E+09,4.13E+09,-2.63E+09
25,-7.05E+09,4.27E+09,-2.78E+09
25.1,-7.04E+09,4.28E+09,-2.75E+09
25.15,-6.90E+09,4.14E+09,-2.76E+09
25.2,-7.04E+09,4.29E+09,-2.75E+09
25.25,-6.92E+09,4.15E+09,-2.78E+09
25.35,-6.94E+09,4.15E+09,-2.79E+09
25.4,-7.08E+09,4.29E+09,-2.80E+09
25.45,-6.96E+09,4.15E+09,-2.81E+09
25.5,-7.10E+09,4.29E+09,-2.81E+09
25.55,-6.94E+09,4.15E+09,-2.80E+09
25.65,-6.97E+09,4.15E+09,-2.82E+09
25.7,-7.04E+09,4.30E+09,-2.74E+09
25.75,-6.95E+09,4.15E+09,-2.80E+09
25.8,-6.99E+09,4.28E+09,-2.72E+09
25.85,-6.94E+09,4.13E+09,-2.81E+09
25.95,-6.95E+09,4.14E+09,-2.81E+09
26,-6.87E+09,4.26E+09,-2.61E+09
26.05,-6.82E+09,4.11E+09,-2.71E+09
26.1,-6.80E+09,4.26E+09,-2.54E+09
26.15,-6.77E+09,4.12E+09,-2.66E+09
26.25,-6.64E+09,4.10E+09,-2.54E+09
26.3,-6.68E+09,4.22E+09,-2.46E+09
26.35,-6.59E+09,4.09E+09,-2.50E+09
26.4,-6.59E+09,4.20E+09,-2.38E+09
26.5,-6.48E+09,4.19E+09,-2.28E+09
26.55,-6.42E+09,4.06E+09,-2.36E+09
26.6,-6.37E+09,4.16E+09,-2.20E+09
26.65,-6.31E+09,4.04E+09,-2.27E+09
26.7,-6.26E+09,4.14E+09,-2.12E+09
26.8,-6.22E+09,4.12E+09,-2.10E+09
26.85,-6.02E+09,4.01E+09,-2.01E+09
26.9,-6.04E+09,4.11E+09,-1.94E+09
26.95,-5.96E+09,4.00E+09,-1.96E+09
27,-5.89E+09,4.07E+09,-1.82E+09
27.1,-5.78E+09,4.05E+09,-1.74E+09
27.15,-5.65E+09,3.95E+09,-1.70E+09
27.2,-5.64E+09,4.02E+09,-1.62E+09
27.25,-5.49E+09,3.94E+09,-1.55E+09
27.3,-5.49E+09,3.99E+09,-1.50E+09
27.4,-5.32E+09,3.96E+09,-1.36E+09
27.45,-5.16E+09,3.88E+09,-1.27E+09
27.5,-5.11E+09,3.93E+09,-1.19E+09
27.55,-5.00E+09,3.85E+09,-1.15E+09
27.65,-4.83E+09,3.84E+09,-9.94E+08
27.7,-4.72E+09,3.86E+09,-8.61E+08
